Point Cloud 2

0.0005281560006551445 6.428316555684432e-05 -8.31147626740858e-05
0.0008903970010578632 0.00024019446573220193 5.504519504029304e-05
0.0004823929048143327 -0.0008015821222215891 -0.0003579925396479666
0.001440019579604268 0.0002362817758694291 -0.00021869952615816146
0.0007753997342661023 -0.0006741065299138427 -0.00033215779694728553
0.0013279349077492952 -0.0008579452405683696 -0.0005424958653748035
0.0036891079507768154 -0.0012081826571375132 0.17448891699314117
0.009284610860049725 -0.0024451115168631077 0.40981149673461914
0.014604147523641586 -0.0017728402744978666 0.5584801435470581
0.020082484930753708 -2.7564819902181625e-06 0.6987378597259521
0.024549294263124466 0.0003393777005840093 0.7718209624290466
0.032178301364183426 0.0005398569628596306 0.9148315191268921
0.04061263054609299 8.749656262807548e-05 1.0614242553710938
0.043623194098472595 -0.0010721208527684212 1.1462681293487549
0.046599797904491425 -0.0011651258682832122 1.1942622661590576
0.12742206454277039 -0.0002902916166931391 1.2623858451843262
0.17017725110054016 -0.0015879180282354355 1.3269007205963135
0.3003634512424469 -0.004437713883817196 1.521688461303711
0.30228984355926514 -0.001975997816771269 1.5662304162979126
0.3076325058937073 -0.003036867594346404 1.6269327402114868
0.3254047632217407 -0.0026246830821037292 1.8395980596542358
0.3327426612377167 -0.003432616824284196 1.9126724004745483
0.35690706968307495 -0.004121237900108099 2.18796968460083
0.3834623098373413 -0.00495130056515336 2.541228771209717
0.40311405062675476 -0.005877823568880558 2.8442060947418213
0.4185495376586914 -0.0036757285706698895 3.070268392562866
0.42872750759124756 -0.0051069860346615314 3.200920581817627
0.43467065691947937 -0.00476589472964406 3.275146961212158
0.4489079713821411 -0.004493984393775463 3.481081485748291
0.4522770643234253 -0.004418020602315664 3.5485339164733887
0.4566812813282013 -0.005546743981540203 3.623006582260132
0.45998477935791016 -0.004387382883578539 3.6956145763397217
0.4695626199245453 -0.005265962332487106 3.771669387817383
0.48356014490127563 -0.003404337912797928 3.981959819793701
0.4900345206260681 -0.0053825946524739265 4.074873447418213
0.4957781136035919 -0.005381960887461901 4.146742820739746
0.5054283142089844 -0.0018256616313010454 4.279905319213867
0.5106084942817688 -0.0009358602110296488 4.359901428222656
0.5124529004096985 -0.00335600390098989 4.431036472320557
0.5212687253952026 -0.004280769266188145 4.581428527832031
0.5256023406982422 -0.001766897039487958 4.662054538726807
0.5350072383880615 -0.0014155474491417408 4.799834251403809
0.5489543676376343 -0.0042347353883087635 4.824113845825195
0.6925771832466125 -0.008507181890308857 5.006742000579834
0.7571648359298706 -0.009884345345199108 5.081806182861328
0.7598161101341248 -0.011221355758607388 5.068484306335449
